,Name,Quantity in Stock,Cost Per Unit,Cost Per Round,Round Count,Grain,SKU,DateTime
53,200 Round Case - 45 Auto Critical Defense 185 Grain Hollow Point Ammo - 90900SKU: HA45CD185-200Available Stock: 11 $269.50 Each FREE SHIPPING (price per round $1.35),11,269.5,1.35,200,185, HA45CD185-200,2024-08-28 20:03:10.411217
54,20 Round Box - 45 Auto 200 Grain XTP Hollow Point Hornady Custom Ammo - 9112SKU: 9112Available Stock: 108 $22.95 Each 10+ @ $21.95 Each (price per round $1.15),108,22.95,1.15,20,200, 9112,2024-08-28 20:03:10.411217
55,200 Round Case - 45 Auto 200 Grain XTP Hollow Point Hornady Custom Ammo - 9112SKU: 9112 - caseAvailable Stock: 6 $219.50 Each FREE SHIPPING (price per round $1.10),6,219.5,1.1,200,200, 9112 - case,2024-08-28 20:03:10.411217
56,20 Round Box - 45 Auto +P 230 Grain XTP Hornady Ammo - 9096SKU: 9096Available Stock: 60 $24.95 Each 10+ @ $23.95 Each (price per round $1.25),60,24.95,1.25,20,230, 9096,2024-08-28 20:03:10.411217
57,200 Round Case - 45 Auto +P 230 Grain XTP Hornady Ammo - 9096SKU: 9096-caseAvailable Stock: 9 $239.50 Each FREE SHIPPING (price per round $1.20),9,239.5,1.2,200,230, 9096-case,2024-08-28 20:03:10.411217
58,20 Round Box - 45 Auto 220 Grain +P Hornady Critical Duty Ammo - 90926SKU: 90926 Available Stock: 48 $29.95 Each 10+ @ $28.95 Each (price per round $1.50),48,29.95,1.5,20,220, 90926 ,2024-08-28 20:03:10.411217
59,200 Round Case - 45 Auto 220 Grain +P Hornady Critical Duty Ammo - 90926SKU: 90926 - caseAvailable Stock: 8 $289.50 Each FREE SHIPPING (price per round $1.45),8,289.5,1.45,200,220, 90926 - case,2024-08-28 20:03:10.411217
60,20 Round Box - 45 Auto 230 Grain XTP Subsonic Hornady Ammo - 90971SKU: 90971 - BoxAvailable Stock: 48 $26.95 Each 10+ @ $25.95 Each (price per round $1.35),48,26.95,1.35,20,230, 90971 - Box,2024-08-28 20:03:10.411217
61,200 Round Case - 45 Auto 230 Grain XTP Subsonic Hornady Ammo - 90971SKU: 90971 - CaseAvailable Stock: 3 $259.50 Each FREE SHIPPING (price per round $1.30),3,259.5,1.3,200,230, 90971 - Case,2024-08-28 20:03:10.411217
62,20 Round Box - 45 Auto 200 Grain Winchester USA Ready Defense Ammo - RED45HPSKU: RED45HP - BoxAvailable Stock: 170 $18.95 Each 10+ @ $17.95 Each (price per round $0.95),170,18.95,0.95,20,200, RED45HP - Box,2024-08-28 20:03:10.411217
